2016-07-25 12:05:15,493 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-25 12:05:15,505 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2016-07-25 12:05:15,518 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-25 12:05:15,520 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\sistproject\company\src\test\resources
2016-07-25 12:12:48,754 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-25 12:12:48,769 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2016-07-25 12:12:48,781 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-25 12:12:48,782 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\sistproject\company\src\test\resources
2016-07-30 20:15:01,075 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-30 20:15:01,123 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2016-07-30 20:15:01,136 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-30 20:15:01,137 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\sistproject\company\src\test\resources
2016-07-31 19:35:33,675 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-31 19:35:33,696 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2016-07-31 19:35:33,712 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-31 19:35:33,714 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\sistproject\company\src\test\resources
2016-08-04 13:53:12,859 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-04 13:53:12,873 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2016-08-04 13:53:12,886 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-04 13:53:12,887 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\sistproject\company\src\test\resources
2016-08-05 12:19:02,083 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-05 12:19:02,096 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2016-08-05 12:19:02,107 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-05 12:19:02,109 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\sistproject\company\src\test\resources
